5_0_5A	5 Avenue Rd	Eglinton Stn	Queen's Park	5A Queen's Park	N/A
5_1_5A	5 Avenue Rd	Queen's Park	Eglinton Stn	5 Eglinton Stn	N/A
5_0_5B	5 Avenue Rd	Eglinton Stn	Gerrard Street West	5B Gerrard	N/A
5_1_5B	5 Avenue Rd	Gerrard Street West	Eglinton Stn	5 Eglinton Stn	N/A
6_0_6A	6 Bay	Davenport/Dupont 	George Brown College	6 Dockside/Queens Quay 	N/A
6_1_6A	6 Bay	George Brown College	Davenport/Dupont 	6A Davenport/Dupont 	N/A
6_0_6B	6 Bay	Davenport/Yonge	George Brown College	6 Queen's Quay/Dockside	N/A
6_1_6B	6 Bay	George Brown College	Davenport/Yonge	6B Bloor (Davenport/Yonge)	N/A
7_0_7	7 Bathurst 	Greenwin Village/Bathurst (Steeles) 	Bathurst Stn	7 Bathurst Stn	N/A
7_1_7	7 Bathurst 	Bathurst Stn	Greenwin Village/Bathurst (Steeles) 	7 Steeles 	N/A
7_0_BWBA	7 Bathurst	Wilson Ave/Bathurst	Bathurst Stn	7 Bathurst Stn	first trip for run
7_0_DUBA	7 Bathurst	Duncan Shops (Hillcrest)	Bathurst Stn	7 Bathurst Stn	142 Avenue Rd Express
7_0_HIBA	7 Bathurst	Hillcrest 	Bathurst Stn	7 Bathurst Stn	142 Avenue Rd Express
7_1_BWVL	7 Bathurst	Bathurst Stn	Wilson Ave/Bathurst	7S Short Turn	N/A
8_0_8	8 Broadview	Coxwell Avenue	Broadview Stn	8 Broadview Stn	N/A
8_1_8	8 Broadview	Broadview Stn	Coxwell Avenue	8 Coxwell	N/A
9_0_9	9 Bellamy	Scarborough Centre 	Warden Stn	9 Warden Stn	N/A
9_1_9	9 Bellamy	Warden Stn	Scarborough Centre 	9 Scarborough Centre 	N/A
9_1_9rush	9 Bellamy	Warden Stn	Scarborough Centre	9 Scarborough Centre	bypasses Neilson Avenue
10_0_10	10 Van Horne	Don Mills Stn	Van Horne Av/Brian Dr	10 Victoria Park	N/A
10_1_10	10 Van Horne	Van Horne Av/Brian Dr	Don Mills Stn	10 Don Mills Stn	N/A
10_0_VHBR	10 Van Horne	Bickerton Cres/Van Horne	Van Horne Av/Brian Dr	10 Don Mills Stn	N/A
11_0_11A	11 Bayview 	Steeles Loop/Bayview 	Davisville Stn	11 Davisville Stn	via Sunnybrook
11_1_11A	11 Bayview 	Davisville Stn	Steeles Loop/Bayview 	11A Steeles	via Sunnybrook
11_0_11C	11 Bayview 	Sunnybrook Hospital 	Davisville Stn	11 Davisville Stn	N/A
11_1_11C	11 Bayview 	Davisville Stn	Sunnybrook Hospital 	11C Sunnybrook 	N/A
11_1_11Apm	11 Bayview 	Davisville Stn	Steeles Loop/Bayview 	11A Steeles	bypasses Odette Cancer Centre
12_0_12A	12 Kingston Rd	Victoria Park Stn	Kennedy Stn	12A Kennedy Stn	via Variety Village and Brimley
12_1_12A	12 Kingston Rd	Kennedy Stn	Victoria Park Stn	12A Victoria Park Stn	via Variety Village and Brimley
12_0_12B	12 Kingston Rd	Victoria Park Stn	Kennedy Stn	12B Kennedy Stn	via Brimley
12_1_12B	12 Kingston Rd	Kennedy Stn	Victoria Park Stn	12B Victoria Park Stn	via Brimley
12_0_12C	12 Kingston Rd	St. Clair/Barkdene Hills	Victoria Park Stn	12C Victoria Park Stn	N/A
12_1_12C	12 Kingston Rd	Victoria Park Stn	St. Clair/Barkdene Hills	12C St. Clair/Barkdene Hills	N/A
12_0_12D	12 Kingston Rd	U of T Scarborough 	Victoria Park Stn	12D Victoria Park Stn	N/A
12_1_12D	12 Kingston Rd	Victoria Park Stn	U of T Scarborough 	12D U of T Scarborough	N/A
12_0_12Apeak	12 Kingston Rd	Victoria Park Stn	Kennedy Stn	12A Kennedy Stn	via Variety Village and Brimley
12_0_NMVI	12 Kingston Rd	Neil McNeil HS	Victoria Park Stn	12E Victoria Park Stn	Express/School Trip
14_0_14	14 Glencarin	Caledonia Rd 	Davisville Stn	14 Davisville Stn	N/A
14_1_14	14 Glencarin	Davisville Stn	Caledonia Rd	14 Caledonia 	N/A
15_0_15	15 Evans	Bloor St (Royal York Stn) 	Sherway Gardens	15 Sherway 	N/A
15_1_15	15 Evans 	Sherway Gardens	Bloor St (Royal York Stn) 	15 Royal York Stn	N/A
16_0_16	16 McCowan 	Scarborough Centre 	Warden Stn	16 Warden Stn	N/A
16_1_16	16 McCowan 	Warden Stn	Scarborough Centre 	16 Scarborough Centre 	N/A
16_0_16dd	16 McCowan 	Scarborough Centre 	Danforth/Danforth (RD/Ave) 	16 Danforth 	bypasses Warden Stn
17_0_17A	17 Birchmount 	Birchmount/Rougeside Prom	Warden Stn	17 Warden Stn	N/A
17_1_17A	17 Birchmount 	Warden Stn	Highway 7	17A Highway 7	Extra Fare Required North of Steeles
17_0_17B	17 Birchmount 	Steeles 	Warden Stn	17 Warden Stn	N/A
17_1_17B	17 Birchmount 	Warden Stn	Steeles	17B Steeles	via Wintermute
17_0_17C	17 Birchmount 	Steeles/Warden 	Warden Stn	17 Warden Stn	N/A
17_1_17C	17 Birchmount 	Warden Stn	Steeles/Warden 	17C Steeles/Warden	N/A
17_0_ke17S	17 Birchmount 	McNiccol Loop/Kennedy Rd	Warden Stn	17 Warden Stn	Short Turn Trip
20_0_20	20 Cliffside	Main Street Stn	Kennedy Stn	20 Kennedy Stn	N/A
20_1_20	20 Cliffside	Kennedy Stn	Main Street Stn	20 Main Street Stn	N/A
21_0_21A	21 Brimley 	Scarborough Centre 	Kennedy Stn	21A Kennedy Stn	N/A
21_1_21A	21 Brimley 	Kennedy Stn	Scarborough Centre 	21A Scarborough Centre	N/A
21_0_21B	21 Brimley 	Steeles 	Scarborough Centre 	21B Scarborough Centre	N/A
21_1_21B	21 Brimley 	Scarborough Centre 	Steeles 	21B Steeles	N/A
21_0_21C	21 Brimley 	Steeles 	Kennedy Stn	21C Kennedy Stn 	via Scarborough Centre
21_1_21C	21 Brimley 	Kennedy Stn	Steeles 	21C Steeles 	via Scarborough Centre
22_0_22A	22 Coxwell	Coxwell Stn	Bingham Loop	22A Victoria Park	via Kingston Rd
22_1_22A	22 Coxwell 	Bingham Loop	Coxwell Stn	22 Coxwell Stn	via Kingston Rd
22_0_22B	22 Coxwell 	Coxwell Stn	Queen Street	22B Queen	N/A
22_1_22B	22 Coxwell 	Queen Street	Coxwell Stn	22 Coxwell Stn	N/A
23_0_23	23 Dawes	St Clair Avenue East	Main Street Stn	23 Main Street Stn	N/A
23_1_23	23 Dawes	Main Street Stn	St Clair Avenue East	23 St Clair 	N/A
23_0_23con	23 Dawes	St Clair 	Woodbine Stn	23A Woodbine Stn	Construction Branch
23_1_23con	23 Dawes	Woodbine Stn	St Clair 	23 St Clair 	Construction Branch
24_0_24A	24 Victoria Park	Steeles	Victoria Park Stn	24 Victoria Park Stn	N/A
24_1_24A	24 Victoria Park	Victoria Park Stn	Steeles	24A Steeles	N/A
24_0_24B	24 Victoria Park	Don Mills Stn	Victoria Park Stn	24B Victoria Park Stn	via Consumers Rd
24_1_24B	24 Victoria Park	Victoria Park Stn	Don Mills Stn	24B Don Mills Stn	via Consumers Rd
24_0_24E	24 Victoria Park	Steeles	Victoria Park Stn	24E Victoria Park Stn	Express
24_1_24E	24 Victoria Park	Victoria Park Stn	Steeles	24E Steeles	Express
24_0_24da	24 Victoria Park	Steeles Loop	Danforth/Victoria Park	24 Danforth?	N/A
24_1_24da	24 Victoria Park 	Danforth/Victoria Park 	Steeles Loop 	24A Steeles	N/A
24_0_24DABI	24 Victoria Park 	Danforth/Victoria Park	Bingham Loop	24 Bingham?	N/A
24_1_biv24	24 Victoria Park 	Bingham Loop	Steeles Loop	24A Steeles	bypasses Victoria Park Stn
24_1_CSDO	24 Victoria Park 	Consumers/Victoria Park	Don Mills Stn	24B Don Mills Stn	N/A
24_1_dav24	24 Victoria Park 	Danforth/Victoria Park	Steeles Loop at Victoria Park	24A Steeles 	N/A
25_0_25A	25 Don Mills	Freshmeadow/Don Mills (Steeles)	Pape Stn	25A Pape Stn	via Don Mills Stn
25_1_25A	25 Don Mills	Pape Stn	Freshmeadow/Don Mills (Steeles)	25A Steeles	via Don Mills Stn
25_0_25A*	25 Don Mills	Freshmeadow/Don Mills (Steeles)	Freshmeadow/Don Mills (Steeles)	25/A/C Steeles	bypasses Don Mills Stn
25_1_25A*	25 Don Mills	Pape Stn	Freshmeadow/Don Mills (Steeles)	25/A/B Pape Stn	bypasses Don Mills Stn
25_0_25B	25 Don Mills	Don Mills Stn	Pape Stn	25B Pape Stn	N/A
25_1_25B	25 Don Mills	Pape Stn	Don Mills Stn	25B Don Mills Stn	N/A
25_0_25C	25 Don Mills	Freshmeadow/Don Mills (Steeles)	Don Mills Stn	25C Don Mills Stn	N/A
25_1_25C	25 Don Mills	Don Mills Stn	Freshmeadow/Don Mills (Steeles)	25C Steeles	N/A
25_0_dm25	25 Don Mills	Duncan Mill Rd	Pape Stn	25B Pape Stn	N/A
25_1_25FEFM	25 Don Mills	Fenelon Loop	Freshmeadow/Don Mills (Steeles)	25C Steeles	N/A
26_0_26	26 Dupont 	Jane Stn	St George Stn	26 St George Stn	N/A
26_1_26	26 Dupont 	St George Stn	Jane Stn	26 Jane Stn	N/A
