vehicle	group	manufacturer	model	division	powertrain	status	thumbnail
1001	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1002	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1003	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1004	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1005	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1006	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1007	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1008	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1009	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1010	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1011	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1012	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1013	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1014	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1015	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1016	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1017	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1018	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1019	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1020	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1021	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1022	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1023	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1024	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1025	1001-1050	"New Flyer"	"2010 D40LF"	Shoemaker	ISL-B400R	Active		07/09/2018
1026	1001-1050	"New Flyer"	"2010 D40LF"	Gilbert	ISL-B400R	Active		07/09/2018
1027	1001-1050	"New Flyer"	"2010 D40LF"	Gilbert	ISL-B400R	Active		07/09/2018
1028	1001-1050	"New Flyer"	"2010 D40LF"	Gilbert	ISL-B400R	Active		07/09/2018
1029	1001-1050	"New Flyer"	"2010 D40LF"	Gilbert	ISL-B400R	Active		07/09/2018
1030	1001-1050	"New Flyer"	"2010 D40LF"	Gilbert	ISL-B400R	Active		07/09/2018
1031	1001-1050	"New Flyer"	"2010 D40LF"	Gilbert	ISL-B400R	Active		07/09/2018
1032	1001-1050	"New Flyer"	"2010 D40LF"	Gilbert	ISL-B400R	Active		07/09/2018
1033	1001-1050	"New Flyer"	"2010 D40LF"	Gilbert	ISL-B400R	Active		07/09/2018
1034	1001-1050	"New Flyer"	"2010 D40LF"	Gilbert	ISL-B400R	Active		07/09/2018
1035	1001-1050	"New Flyer"	"2010 D40LF"	Gilbert	ISL-B400R	Active		07/09/2018
1036	1001-1050	"New Flyer"	"2010 D40LF"	Gilbert	ISL-B400R	Active		07/09/2018
1037	1001-1050	"New Flyer"	"2010 D40LF"	Gilbert	ISL-B400R	Active		07/09/2018
1038	1001-1050	"New Flyer"	"2010 D40LF"	Gilbert	ISL-B400R	Active		07/09/2018
1039	1001-1050	"New Flyer"	"2010 D40LF"	Gilbert	ISL-B400R	Active		07/09/2018
1040	1001-1050	"New Flyer"	"2010 D40LF"	Gilbert	ISL-B400R	Active		07/09/2018
1041	1001-1050	"New Flyer"	"2010 D40LF"	Gilbert	ISL-B400R	Active		07/09/2018
1042	1001-1050	"New Flyer"	"2010 D40LF"	Gilbert	ISL-B400R	Active		07/09/2018
1043	1001-1050	"New Flyer"	"2010 D40LF"	Gilbert	ISL-B400R	Active		07/09/2018
1044	1001-1050	"New Flyer"	"2010 D40LF"	Gilbert	ISL-B400R	Active		07/09/2018
1045	1001-1050	"New Flyer"	"2010 D40LF"	Gilbert	ISL-B400R	Active		07/09/2018
