vehicle	group	manufacturer	model	division	powertrain	status	thumbnail	
101	101-112	Orion	2002 VII CNG 35'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 112-a.jpg"	11 July 2018
102	101-112	Orion	2002 VII CNG 35'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 112-a.jpg"	11 July 2018
103	101-112	Orion	2002 VII CNG 35'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 112-a.jpg"	11 July 2018
104	101-112	Orion	2002 VII CNG 35'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 112-a.jpg"	11 July 2018
105	101-112	Orion	2002 VII CNG 35'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 112-a.jpg"	11 July 2018
106	101-112	Orion	2002 VII CNG 35'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 112-a.jpg"	11 July 2018
107	101-112	Orion	2002 VII CNG 35'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 112-a.jpg"	11 July 2018
108	101-112	Orion	2002 VII CNG 35'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 112-a.jpg"	11 July 2018
109	101-112	Orion	2002 VII CNG 35'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 112-a.jpg"	11 July 2018
110	101-112	Orion	2002 VII CNG 35'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 112-a.jpg"	11 July 2018
111	101-112	Orion	2002 VII CNG 35'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 112-a.jpg"	11 July 2018
112	101-112	Orion	2002 VII CNG 35'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 112-a.jpg"	11 July 2018
113	113	Gillig	2007 Low Floor 35'	Del Webb	ISL-D864.5	Active	"File:Salem-Keizer Transit 113-b.jpg"	11 July 2018
114	114-122	Gillig	2008 Low Floor 35'	Del Webb	ISL-D864.5	Active	"File:Salem-Keizer Transit 120-a.jpg"	11 July 2018
115	114-122	Gillig	2008 Low Floor 35'	Del Webb	ISL-D864.5	Active	"File:Salem-Keizer Transit 120-a.jpg"	11 July 2018
116	114-122	Gillig	2008 Low Floor 35'	Del Webb	ISL-D864.5	Active	"File:Salem-Keizer Transit 120-a.jpg"	11 July 2018
117	114-122	Gillig	2008 Low Floor 35'	Del Webb	ISL-D864.5	Active	"File:Salem-Keizer Transit 120-a.jpg"	11 July 2018
118	114-122	Gillig	2008 Low Floor 35'	Del Webb	ISL-D864.5	Active	"File:Salem-Keizer Transit 120-a.jpg"	11 July 2018
119	114-122	Gillig	2008 Low Floor 35'	Del Webb	ISL-D864.5	Active	"File:Salem-Keizer Transit 120-a.jpg"	11 July 2018
120	114-122	Gillig	2008 Low Floor 35'	Del Webb	ISL-D864.5	Active	"File:Salem-Keizer Transit 120-a.jpg"	11 July 2018
121	114-122	Gillig	2008 Low Floor 35'	Del Webb	ISL-D864.5	Active	"File:Salem-Keizer Transit 120-a.jpg"	11 July 2018
122	114-122	Gillig	2008 Low Floor 35'	Del Webb	ISL-D864.5	Active	"File:Salem-Keizer Transit 120-a.jpg"	11 July 2018
123	123-126	Gillig	2011 Low Floor 35'	Del Webb	ISL9-D864.5	Active	"File:Salem-Keizer Transit 123-a.jpg"	11 July 2018
124	123-126	Gillig	2011 Low Floor 35'	Del Webb	ISL9-D864.5	Active	"File:Salem-Keizer Transit 123-a.jpg"	11 July 2018
125	123-126	Gillig	2011 Low Floor 35'	Del Webb	ISL9-D864.5	Active	"File:Salem-Keizer Transit 123-a.jpg"	11 July 2018
126	123-126	Gillig	2011 Low Floor 35'	Del Webb	ISL9-D864.5	Active	"File:Salem-Keizer Transit 123-a.jpg"	11 July 2018
127	127-130	Gillig	2012 Low Floor 35'	Del Webb	ISL9-D864.5	Active	"File:Salem-Keizer Transit 130-a.jpg"	11 July 2018
128	127-130	Gillig	2012 Low Floor 35'	Del Webb	ISL9-D864.5	Active	"File:Salem-Keizer Transit 130-a.jpg"	11 July 2018
129	127-130	Gillig	2012 Low Floor 35'	Del Webb	ISL9-D864.5	Active	"File:Salem-Keizer Transit 130-a.jpg"	11 July 2018
130	127-130	Gillig	2012 Low Floor 35'	Del Webb	ISL9-D864.5	Active	"File:Salem-Keizer Transit 130-a.jpg"	11 July 2018
201	201-212	Orion	2002 VII CNG 40'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 209-a.jpg"	11 July 2018
202	201-212	Orion	2002 VII CNG 40'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 209-a.jpg"	11 July 2018
203	201-212	Orion	2002 VII CNG 40'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 209-a.jpg"	11 July 2018
204	201-212	Orion	2002 VII CNG 40'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 209-a.jpg"	11 July 2018
205	201-212	Orion	2002 VII CNG 40'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 209-a.jpg"	11 July 2018
206	201-212	Orion	2002 VII CNG 40'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 209-a.jpg"	11 July 2018
207	201-212	Orion	2002 VII CNG 40'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 209-a.jpg"	11 July 2018
208	201-212	Orion	2002 VII CNG 40'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 209-a.jpg"	11 July 2018
209	201-212	Orion	2002 VII CNG 40'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 209-a.jpg"	11 July 2018
210	201-212	Orion	2002 VII CNG 40'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 209-a.jpg"	11 July 2018
211	201-212	Orion	2002 VII CNG 40'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 209-a.jpg"	11 July 2018
212	201-212	Orion	2002 VII CNG 40'	Del Webb	DDS50G-B400R5	Active	"File:Salem-Keizer Transit 209-a.jpg"	11 July 2018
213	213-214	Orion	2004 VII CNG 40'	Del Webb	C Gas Plus-B400R5	Active	"File:Salem-Keizer Transit 213-a.jpg"	11 July 2018
214	213-214	Orion	2004 VII CNG 40'	Del Webb	C Gas Plus-B400R5	Active	"File:Salem-Keizer Transit 213-a.jpg"	11 July 2018
215	215-222	Orion	2005 VII CNG 40'	Del Webb	C Gas Plus-B400R5	Active	"File:Salem-Keizer Transit 217-a.jpg"	11 July 2018
216	215-222	Orion	2005 VII CNG 40'	Del Webb	C Gas Plus-B400R5	Active	"File:Salem-Keizer Transit 217-a.jpg"	11 July 2018
