vehicle	group	manufacturer	model	division	powertrain	status	thumbnail
201	201-223	Van Hool	2005 AG300	BRT - TOK Transit	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
202	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
203	201-223	Van Hool	2005 AG300	BRT - TOK Transit	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
204	201-223	Van Hool	2005 AG300	BRT - TOK Transit	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
205	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://media.discordapp.net/attachments/385830976879722499/466434640266395658/IMG_3304.JPG?width=500&height=300	10 July 2018
206	201-223	Van Hool	2005 AG300	BRT - TOK Transit	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
207	201-223	Van Hool	2005 AG300	BRT - TOK Transit	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
208	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
209	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
210	201-223	Van Hool	2005 AG300	BRT - TOK Transit	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
211	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
212	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
213	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
214	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
215	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
216	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
217	201-223	Van Hool	2005 AG300	BRT - TOK Transit	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
218	201-223	Van Hool	2005 AG300	BRT - TOK Transit	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
219	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
