-AA-							
AAA	NTGA	Anaa Airport	Anaa, Tuamotus, French Polynesia	UTC-10:00			
AAB	YARY	Arrabury Airport	Arrabury, Queensland, Australia	UTC+10:00			
AAC	HEAR	El Arish International Airport	El Arish, Egypt	UTC+02:00			
AAD		Adado Airport	Adado (Cadaado), Galguduud, Somalia	UTC+03:00			
AAE	DABB	Rabah Bitat Airport (Les Salines Airport)	Annaba, Algeria	UTC+01:00			
AAF	KAAF	Apalachicola Regional Airport	Apalachicola, Florida, United States	UTC-05:00	Mar-Nov		
AAG	SSYA	Arapoti Airport	Arapoti, Parana, Brazil	UTC-03:00	Oct-Feb		
AAH	EDKA	Merzbrück Airport	Aachen, North Rhine-Westphalia, Germany	UTC+01:00	Mar-Oct		
AAI	SWRA	Arraias Airport	Arraias, Tocantins, Brazil	UTC-03:00			
AAJ	SMCA	Cayana Airstrip	Awaradam, Suriname	UTC-03:00			
AAK	NGUK	Aranuka Airport	Aranuka, Kiribati	UTC+12:00			
AAL	EKYT	Aalborg Airport	Aalborg, Denmark	UTC+01:00	Mar-Oct		
AAM	FAMD	Mala Mala Airport	Mala Mala, South Africa	UTC+02:00			
AAN	OMAL	Al Ain International Airport	Al Ain, United Arab Emirates	UTC+04:00			
AAO	SVAN	Anaco Airport	Anaco, Venezuela	UTC-04:00			
AAQ	URKA	Anapa Airport	Anapa, Krasnodar Krai, Russia	UTC+03:00			
AAR	EKAH	Aarhus Airport	Aarhus, Denmark	UTC+01:00	Mar-Oct		
AAS		Apalapsili Airport	Apalapsili, Indonesia	UTC+09:00			
AAT	ZWAT	Altay Airport	Altay, Xinjiang, China	UTC+06:00			
AAU	NSAU	Asau Airport	Asau, Savai'i Island, Samoa	UTC+13:00	Sep-Apr		
AAV	RPMA	Allah Valley Airport	Surallah, Philippines	UTC+08:00			
AAX	SBAX	Araxa Airport	Araxa, Minas Gerais, Brazil	UTC-03:00	Oct-Feb		
AAY	OYGD	Al Ghaydah Airport	Al Ghaydah, Yemen	UTC+03:00			
AAZ	MGQZ	Quetzaltenango Airport	Quetzaltenango, Guatemala	UTC-06:00			
-AB-							
ABA	UNAA	Abakan International Airport	Abakan, Republic of Khakassia, Russia	UTC+07:00			
ABB	DNAS	Asaba International Airport	Asaba, Nigeria	UTC+01:00			
ABC	LEAB	Albacete Airport	Albacete, Castilla-La Mancha, Spain	UTC+01:00	Mar-Oct		
ABD	OIAA	Abadan International Airport	Abadan, Iran	UTC+03:30	Mar-Sep		
ABE	KABE	Lehigh Valley International Airport	Allentown, Pennsylvania, United States	UTC-05:00	Mar-Nov		
ABF	NGAB	Abaiang Atoll Airport	Abaiang, Kiribati	UTC+12:00			
ABG	YABI	Abingdon Airport	Abingdon, Queensland, Australia	UTC+10:00			
ABH	YAPH	Alpha Airport	Alpha, Queensland, Australia	UTC+10:00			
ABI	KABI	Abilene Regional Airport	Abilene, Texas, United States	UTC-06:00	Mar-Nov		
ABJ	DIAP	Port Bouet Airport (Felix Houphouet Boigny Int'l)	Abidjan, Cote d'Ivoire	UTC+00:00			
ABK	HAKD	Kabri Dar Airport	Kebri Dahar, Ethiopia	UTC+03:00			
ABL	PAFM	Ambler Airport (FAA: AFM)	Ambler, Alaska, United States	UTC-09:00	Mar-Nov		
ABM	YNPE	Northern Peninsula Airport	Bamaga, Queensland, Australia	UTC+10:00			
ABN	SMBN	Albina Airstrip	Albina, Suriname	UTC-03:00			
ABO	DIAO	Aboisso Airport	Aboisso, Cote d'Ivoire	UTC+00:00			
ABP		Atkamba Airport	Atkamba, Papua New Guinea	UTC+10:00			
ABQ	KABQ	Albuquerque International Sunport	Albuquerque, New Mexico, United States	UTC-07:00	Mar-Nov		
ABR	KABR	Aberdeen Regional Airport	Aberdeen, South Dakota, United States	UTC-06:00	Mar-Nov		
ABS	HEBL	Abu Simbel Airport	Abu Simbel, Egypt	UTC+02:00			
ABT	OEBA	Al-Baha Domestic Airport	Al-Baha, Saudi Arabia	UTC+03:00			
ABU	WATA	Haliwen Airport	Atambua, Indonesia	UTC+08:00			
ABV	DNAA	Nnamdi Azikiwe International Airport	Abuja, Nigeria	UTC+01:00			
ABW		Abau Airport	Abau, Papua New Guinea	UTC+10:00			
ABX	YMAY	Albury Airport	Albury, New South Wales, Australia	UTC+10:00	Oct-Apr		
ABY	KABY	Southwest Georgia Regional Airport	Albany, Georgia, United States	UTC-05:00	Mar-Nov		
ABZ	EGPD	Aberdeen Airport	Aberdeen, Scotland, United Kingdom	UTC+00:00	Mar-Oct		
-AC-							
ACA	MMAA	General Juan N. alvarez International Airport	Acapulco, Guerrero, Mexico	UTC-06:00	Apr-Oct		
ACB	KACB	Antrim County Airport	Bellaire, Michigan, United States	UTC-05:00	Mar-Nov		
ACC	DGAA	Kotoka International Airport	Accra, Ghana	UTC+00:00			
ACD	SKAD	Alcides Fernandez Airport	Acandi, Colombia	UTC-05:00			
ACE	GCRR	Lanzarote Airport	Lanzarote, Canary Islands, Spain	UTC+00:00	Mar-Oct		
ACH	LSZR	St. Gallen–Altenrhein Airport	Altenrhein, Switzerland	UTC+01:00	Mar-Oct		
ACI	EGJA	Alderney Airport	Alderney, Channel Islands, United Kingdom	UTC+00:00	Mar-Oct		
ACJ	VCCA	Anuradhapura Airport	Anuradhapura, Sri Lanka	UTC+05:30			
ACK	KACK	Nantucket Memorial Airport	Nantucket, Massachusetts, United States	UTC-05:00	Mar-Nov		
ACL		Aguaclara Airport	Aguaclara, Colombia	UTC-05:00			
ACM		Arica Airport	Arica, Colombia	UTC-05:00			
ACN	MMCC	Ciudad Acuna International Airport	Ciudad Acuna, Coahuila, Mexico	UTC-06:00	Mar-Nov		
ACP	OITM	Sahand Airport	Maragheh, Iran	UTC+03:30	Mar-Sep		
ACR	SKAC	Araracuara Airport	Araracuara, Colombia	UTC-05:00			
ACS	UNKS	Achinsk Airport	Achinsk, Krasnoyarsk Krai, Russia	UTC+07:00			
ACT	KACT	Waco Regional Airport	Waco, Texas, United States	UTC-06:00	Mar-Nov		
ACU		Achutupo Airport	Achutupo, Panama	UTC-05:00			
ACV	KACV	Arcata-Eureka Airport	Eureka / Arcata, California, United States	UTC-08:00	Mar-Nov		
ACX	ZUYI	Xingyi Wanfenglin Airport	Xingyi, Guizhou, China	UTC+08:00			
ACY	KACY	Atlantic City International Airport	Atlantic City, New Jersey, United States	UTC-05:00	Mar-Nov		
ACZ	OIZB	Zabol Airport	Zabol, Iran	UTC+03:30	Mar-Sep		
-AD-							
ADA	LTAF	Adana Sakirpasa Airport	Adana, Turkey	UTC+03:00			
ADB	LTBJ	Adnan Menderes Airport	Izmir, Turkey	UTC+03:00			
ADC	AYAN	Andakombe Airport	Andakombe, Papua New Guinea	UTC+10:00			
