0_6991dd72	12 Niagara Falls / Toronto	Niagara Falls Bus Terminal	Dundas St. at. Hwy 407 Park & Ride	12 Burlington GO	N/A	GO Transit	
1_2db71bcf	12 Niagara Falls / Toronto	Dundas St. at. Hwy 407 Park & Ride	Niagara Falls Bus Terminal	12 Niagara Falls	N/A	GO Transit	
0_98cefe54	15 Brantford / Aldershot	Brantford Bus Terminal	Aldershot GO Bus Stn	15 Aldershot GO	N/A	GO Transit	
1_5218755	15 Brantford / Aldershot	Aldershot GO Bus Stn	Brantford Bus Terminal	15 Brantford Terminal	N/A	GO Transit	
0_0c39d6e7	16 Hamilton / Toronto Express	Hamilton GO Centre Bus Terminal	Union Station Bus Terminal	16 Union Station	N/A	GO Transit	
0_d4febbc1	18 Lakeshore West	Hamilton GO Centre Bus Terminal	Union Station Bus Terminal	18B Union Station	N/A	GO Transit	
1_36485698	18 Lakeshore West	Union Station Bus Terminal	Hamilton GO Centre Bus Terminal	18C Hamilton GO	N/A	GO Transit	
0_b6edf4eb	19 Mississauga / North York	Square One Terminal	Finch Bus Terminal	19 Finch Terminal	N/A	GO Transit	
1_5beb086c	19 Mississauga / North York	Finch Bus Terminal	Square One Terminal	19 Square One	N/A	GO Transit	
1_f51b5bee	19 Mississauga / North York	York Mills Bus Terminal	Square One Terminal	19B Square One	N/A	GO Transit	
0_0156189e	21 Milton	Milton GO Bus	Union Station Bus Terminal	21 Union Station	N/A	GO Transit	
0_14aa8501	21 Milton	Erindale GO Bus	Union Station Bus Terminal	21T Union Station	N/A	GO Transit	
0_1d11d7fc	21 Milton	Cooksville GO Bus	Union Station Bus Terminal	21L Union Station	N/A	GO Transit	
0_6f73170a	21 Milton	Milton GO Bus	Union Station Bus Terminal	21B Union Station	N/A	GO Transit	
0_89f5cbc6	21 Milton	Dixie GO Bus	Union Station Bus Terminal	21M Union Station	N/A	GO Transit	
0_9413650c	21 Milton	Erindale GO Bus	Union Station Bus Terminal	21G Union Station	N/A	GO Transit	
0_dfa3bca5	21 Milton	Lisgar GO Bus	Union Station Bus Terminal	21E Union Station	N/A	GO Transit	
1_275b89e7	21 Milton	Union Station Bus Terminal	Milton GO Bus	21 Milton GO	N/A	GO Transit	
1_a18fab49	21 Milton	Union Station Bus Terminal	Lisgar GO Bus	21E Lisgar GO	N/A	GO Transit	
1_b29cfbcd	21 Milton	Union Station Bus Terminal	Milton GO Bus	21B Milton GO	N/A	GO Transit	
0_18c79456	25 Waterloo / Mississauga	University of Waterloo	Square One Terminal	25 Square One	N/A	GO Transit	
1_068elc7b	25 Waterloo / Mississauga	Square One Terminal	University of Waterloo	25 U of Waterloo	N/A	GO Transit	
0_e8e9fdac	27 Milton / North York	Milton GO Bus	Finch Bus Terminal	27A Finch Terminal	N/A	GO Transit	
1_85bf38dc	27 Milton / North York	Finch Bus Terminal	Milton GO Bus	27A Milton GO	N/A	GO Transit	
1_b24c0bde	27 Milton / North York	York Mills Bus Terminal	Meadowvale GO Bus	27B Meadowvale GO	N/A	GO Transit	
0_f45e106e	29 Guelph / Mississauga	Guelph Central GO Bus	Square One Terminal	29 Square One	N/A	GO Transit	
