vehicle	group	manufacturer	model	division	powertrain	status	thumbnail	
201	0201-0221	NFI	D40LF	Sandalwood	ISC-D864.3E	Retired		2 July 2020
202	0201-0221	NFI	D40LF	Sandalwood	ISC-D864.3E	Retired		2 July 2020
203	0201-0221	NFI	D40LF	Sandalwood	ISC-D864.3E	Retired		3 July 2020
204	0201-0221	NFI	D40LF	Sandalwood	ISC-D864.3E	Active		3 July 2020
205	0201-0221	NFI	D40LF	Sandalwood	ISC-D864.3E	Retired		3 July 2020
206	0201-0221	NFI	D40LF	Sandalwood	ISC-D864.3E	Retired		3 July 2020
207	0201-0221	NFI	D40LF	Sandalwood	ISC-D864.3E	Retired		3 July 2020
208	0201-0221	NFI	D40LF	Sandalwood	ISC-D864.3E	Active		3 July 2020
209	0201-0221	NFI	D40LF	Sandalwood	ISC-D864.3E	Retired		3 July 2020
210	0201-0221	NFI	D40LF	Sandalwood	ISC-D864.3E	Active		3 July 2020
211	0201-0221	NFI	D40LF	Sandalwood	ISC-D864.3E	Retired		3 July 2020
212	0201-0221	NFI	D40LF	Sandalwood	ISC-D864.3E	Retired		3 July 2020
213	0201-0221	NFI	D40LF	Sandalwood	ISC-D864.3E	Retired		3 July 2020
214	0201-0221	NFI	D40LF	Sandalwood	ISC-D864.3E	Active		3 July 2020
215	0201-0221	NFI	D40LF	Sandalwood	ISC-D864.3E	Active		3 July 2020
216	0201-0221	NFI	D40LF	Sandalwood	ISC-D864.3E	Active		3 July 2020
217	0201-0221	NFI	D40LF	Sandalwood	ISC-D864.3E	Active		3 July 2020
218	0201-0221	NFI	D40LF	Sandalwood	ISC-D864.3E	Active		3 July 2020
219	0201-0221	NFI	D40LF	Sandalwood	ISC-D864.3E	Retired		3 July 2020
220	0201-0221	NFI	D40LF	Sandalwood	ISC-D864.3E	Active		3 July 2020
221	0201-0221	NFI	D40LF	Sandalwood	ISC-D864.3E	Active		3 July 2020
301	0301-0317	NFI	D40LF	Sandalwood	ISL-D864.3E	Active		3 July 2020
302	0301-0317	NFI	D40LF	Sandalwood	ISL-D864.3E	Active		3 July 2020
