vehicle	group	manufacturer	model	division	powertrain	status	thumbnail
1776	1776	Gillig	2003 Phantom 40'	65th Ave	ISL-D864.3E	Active; formerly 2222	"https://cptdb.ca/wiki/images/thumb/d/d9/C-TRAN_1776-a.jpg/800px-C-TRAN_1776-a.jpg"	11 July 2018
2201	2201-2214	Gillig	1999 Phantom 40'	N/A	ISC-D864.3	Retired	"https://cptdb.ca/wiki/images/thumb/9/9f/C-TRAN_2201-a.jpg/800px-C-TRAN_2201-a.jpg"	11 July 2018
2202	2201-2214	Gillig	1999 Phantom 40'	N/A	ISC-D864.3	Retired	"https://cptdb.ca/wiki/images/thumb/9/9f/C-TRAN_2201-a.jpg/800px-C-TRAN_2201-a.jpg"	11 July 2018
2203	2201-2214	Gillig	1999 Phantom 40'	N/A	ISC-D864.3	Retired	"https://cptdb.ca/wiki/images/thumb/9/9f/C-TRAN_2201-a.jpg/800px-C-TRAN_2201-a.jpg"	11 July 2018
2204	2201-2214	Gillig	1999 Phantom 40'	N/A	ISC-D864.3	Retired	"https://cptdb.ca/wiki/images/thumb/9/9f/C-TRAN_2201-a.jpg/800px-C-TRAN_2201-a.jpg"	11 July 2018
2205	2201-2214	Gillig	1999 Phantom 40'	N/A	ISC-D864.3	Retired	"https://cptdb.ca/wiki/images/thumb/9/9f/C-TRAN_2201-a.jpg/800px-C-TRAN_2201-a.jpg"	11 July 2018
2206	2201-2214	Gillig	1999 Phantom 40'	N/A	ISC-D864.3	Retired	"https://cptdb.ca/wiki/images/thumb/9/9f/C-TRAN_2201-a.jpg/800px-C-TRAN_2201-a.jpg"	11 July 2018
2207	2201-2214	Gillig	1999 Phantom 40'	N/A	ISC-D864.3	Retired	"https://cptdb.ca/wiki/images/thumb/9/9f/C-TRAN_2201-a.jpg/800px-C-TRAN_2201-a.jpg"	11 July 2018
2208	2201-2214	Gillig	1999 Phantom 40'	65th Ave	ISC-D864.3	Active	"https://cptdb.ca/wiki/images/thumb/9/9f/C-TRAN_2201-a.jpg/800px-C-TRAN_2201-a.jpg"	11 July 2018
2209	2201-2214	Gillig	1999 Phantom 40'	65th Ave	ISC-D864.3	Active	"https://cptdb.ca/wiki/images/thumb/9/9f/C-TRAN_2201-a.jpg/800px-C-TRAN_2201-a.jpg"	11 July 2018
