vehicle	group	manufacturer	model	division	powertrain	status	thumbnail
520	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
521	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
522	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
523	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
524	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
525	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
526	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
527	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
528	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
529	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
530	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
531	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
532	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
533	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
534	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
535	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
536	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
537	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
538	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
539	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
540	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
541	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
542	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
543	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired - 2011		9 July 2018
544	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired - 2011		9 July 2018
545	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired - 2011		9 July 2018
546	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
547	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
548	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired - 2011		9 July 2018
549	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired - 2011		9 July 2018
550	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired - 2011		9 July 2018
551	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired - 2011		9 July 2018
552	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired - 2011		9 July 2018
553	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired - 2011		9 July 2018
554	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired - 2011		9 July 2018
555	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired - 2011		9 July 2018
556	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Retired - 2011		9 July 2018
557	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Active	https://media.discordapp.net/attachments/385830976879722499/466450737589649419/IMG_4559.JPG?width=500&height=300	10 July 2018
558	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Active	https://cptdb.ca/wiki/index.php/File:GO_Transit_558-a.jpg	9 July 2018
559	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Active		9 July 2018
560	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Active	https://cdn.discordapp.com/attachments/385830976879722499/468969504999735356/image.jpg	17 July 2018
561	520-568	GMDD	1990 F59PH	GO Train	500kW DDC 8V149	Active	https://media.discordapp.net/attachments/385830976879722499/466667697107763200/3029d0065890f6e012f6be8a4dcfdcef.png	11 July 2018
562	520-568	GMDD	1994 F59PH	GO Train	500kW DDC 8V149	Active	https://cdn.discordapp.com/attachments/385830976879722499/466681295980986369/IMG_0011.JPG	11 July 2018
563	520-568	GMDD	1994 F59PH	GO Train	500kW DDC 8V149	Active		9 July 2018
564	520-568	GMDD	1994 F59PH	GO Train	500kW DDC 8V149	Active		9 July 2018
565	520-568	GMDD	1994 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
566	520-568	GMDD	1994 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
567	520-568	GMDD	1994 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
568	520-568	GMDD	1994 F59PH	GO Train	500kW DDC 8V149	Retired		9 July 2018
600	600-626	MPI	2007 MP40PH-3C	GO Train	Cat C27-ACERT	Active		9 July 2018
601	600-626	MPI	2007 MP40PH-3C	GO Train	Cat C27-ACERT	Active		9 July 2018
602	600-626	MPI	2007 MP40PH-3C	GO Train	Cat C27-ACERT	Active		9 July 2018
603	600-626	MPI	2007 MP40PH-3C	GO Train	Cat C27-ACERT	Active		9 July 2018
604	600-626	MPI	2007 MP40PH-3C	GO Train	Cat C27-ACERT	Active		9 July 2018
605	600-626	MPI	2007/2008 MP40PH-3C	GO Train	Cat C27-ACERT	Active		9 July 2018
606	600-626	MPI	2007/2008 MP40PH-3C	GO Train	Cat C27-ACERT	Active		9 July 2018
607	600-626	MPI	2007/2008 MP40PH-3C	GO Train	Cat C27-ACERT	Active		9 July 2018
608	600-626	MPI	2008 MP40PH-3C	GO Train	Cat C27-ACERT	Active		9 July 2018
609	600-626	MPI	2008 MP40PH-3C	GO Train	Cat C27-ACERT	Active		9 July 2018
610	600-626	MPI	2008 MP40PH-3C	GO Train	Cat C27-ACERT	Active		9 July 2018
611	600-626	MPI	2008 MP40PH-3C	GO Train	Cat C27-ACERT	Active		9 July 2018
612	600-626	MPI	2008 MP40PH-3C	GO Train	Cat C27-ACERT	Active		9 July 2018
613	600-626	MPI	2008 MP40PH-3C	GO Train	Cat C27-ACERT	Active		9 July 2018
614	600-626	MPI	2008 MP40PH-3C	GO Train	Cat C27-ACERT	Active		9 July 2018
615	600-626	MPI	2008 MP40PH-3C	GO Train	Cat C27-ACERT	Active		9 July 2018
616	600-626	MPI	2008 MP40PH-3C	GO Train	Cat C27-ACERT	Active		9 July 2018
617	600-626	MPI	2008 MP40PH-3C	GO Train	Cat C27-ACERT	Active		9 July 2018
618	600-626	MPI	2008 MP40PH-3C	GO Train	Cat C27-ACERT	Active		9 July 2018
