vehicle	group	manufacturer	model	division	powertrain	status	thumbnail
301	301-319	Gillig	1998 Low Floor 40'	Glenwood Blvd	C8.3-D864.3	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_315-a.jpg"	11 July 2018
302	301-319	Gillig	1998 Low Floor 40'	N/A	C8.3-D864.3	Retired	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_315-a.jpg"	11 July 2018
303	301-319	Gillig	1998 Low Floor 40'	Glenwood Blvd	C8.3-D864.3	Unknown	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_315-a.jpg"	11 July 2018
304	301-319	Gillig	1998 Low Floor 40'	Glenwood Blvd	C8.3-D864.3	Unknown	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_315-a.jpg"	11 July 2018
305	301-319	Gillig	1998 Low Floor 40'	Glenwood Blvd	C8.3-D864.3	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_315-a.jpg"	11 July 2018
306	301-319	Gillig	1998 Low Floor 40'	Glenwood Blvd	C8.3-D864.3	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_315-a.jpg"	11 July 2018
307	301-319	Gillig	1998 Low Floor 40'	N/A	C8.3-D864.3	Retired	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_315-a.jpg"	11 July 2018
308	301-319	Gillig	1998 Low Floor 40'	Glenwood Blvd	C8.3-D864.3	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_315-a.jpg"	11 July 2018
309	301-319	Gillig	1998 Low Floor 40'	N/A	C8.3-D864.3	Retired	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_315-a.jpg"	11 July 2018
310	301-319	Gillig	1998 Low Floor 40'	Glenwood Blvd	C8.3-D864.3	Active	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_315-a.jpg"	11 July 2018
311	301-319	Gillig	1998 Low Floor 40'	Glenwood Blvd	C8.3-D864.3	Unknown	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_315-a.jpg"	11 July 2018
312	301-319	Gillig	1998 Low Floor 40'	Glenwood Blvd	C8.3-D864.3	Unknown	"https://cptdb.ca/wiki/index.php/File:Lane_Transit_District_315-a.jpg"	11 July 2018
