vehicle	group	manufacturer	model	division	powertrain	status	thumbnail
2201	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2202	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2203	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Active	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2204	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2205	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Active	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2206	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Active	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2207	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2208	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2209	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2210	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Active	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2211	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2212	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2213	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Active	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2214	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2215	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2216	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2217	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2218	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2219	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2220	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Contingency	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2221	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Contingency	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2222	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Contingency	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2223	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2224	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Active	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2225	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2226	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2227	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2228	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Active	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2229	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2230	2201-2318	New Flyer	1998 D40LF	Powell	ISC-D863.3	Contingency	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2231	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2232	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
2233	2201-2318	New Flyer	1998 D40LF	N/A	ISC-D863.3	Retired	"https://cptdb.ca/wiki/images/thumb/f/f9/TriMet_2246-a.jpg/800px-TriMet_2246-a.jpg"	11 July 2018
