vehicle	group	manufacturer	model	division	powertrain	status	thumbnail	date
1	N/A	Prevost	1998 LeMirage XL-45	Lake Shore	DD60-B500	Inactive		6 November 2018
100	100-209	Ford/StarTrans Bus	F-450/Senator SII LF (2009)	TTC Community Bus	Ford Power Stroke-Ford 5R110W	Active		9 July 2018
101	100-209	Ford/StarTrans Bus	F-450/Senator SII LF (2009)	TTC Community Bus	Ford Power Stroke-Ford 5R110W	Active		9 July 2018
102	100-209	Ford/StarTrans Bus	F-450/Senator SII LF (2009)	TTC Community Bus	Ford Power Stroke-Ford 5R110W	Active		9 July 2018
103	100-209	Ford/StarTrans Bus	F-450/Senator SII LF (2009)	TTC Community Bus	Ford Power Stroke-Ford 5R110W	Active		9 July 2018
104	100-209	Ford/StarTrans Bus	F-450/Senator SII LF (2009)	TTC Community Bus	Ford Power Stroke-Ford 5R110W	Active		9 July 2018
105	100-209	Ford/StarTrans Bus	F-450/Senator SII LF (2009)	TTC Community Bus	Ford Power Stroke-Ford 5R110W	Active		9 July 2018
106	100-209	Ford/StarTrans Bus	F-450/Senator SII LF (2009)	TTC Community Bus	Ford Power Stroke-Ford 5R110W	Active		9 July 2018
107	100-209	Ford/StarTrans Bus	F-450/Senator SII LF (2009)	TTC Community Bus	Ford Power Stroke-Ford 5R110W	Active		9 July 2018
108	100-209	Ford/StarTrans Bus	F-450/Senator SII LF (2009)	TTC Wheel Trans	Ford Power Stroke-Ford 5R110W	Active		9 July 2018
109	100-209	Ford/StarTrans Bus	F-450/Senator SII LF (2009)	TTC Wheel Trans	Ford Power Stroke-Ford 5R110W	Active		9 July 2018
110	100-209	Ford/StarTrans Bus	F-450/Senator SII LF (2009)	TTC Wheel Trans	Ford Power Stroke-Ford 5R110W	Active		9 July 2018
111	100-209	Ford/StarTrans Bus	F-450/Senator SII LF (2009)	TTC Wheel Trans	Ford Power Stroke-Ford 5R110W	Active		9 July 2018
112	100-209	Ford/StarTrans Bus	F-450/Senator SII LF (2009)	TTC Wheel Trans	Ford Power Stroke-Ford 5R110W	Active		9 July 2018
113	100-209	Ford/StarTrans Bus	F-450/Senator SII LF (2009)	TTC Wheel Trans	Ford Power Stroke-Ford 5R110W	Active		9 July 2018
114	100-209	Ford/StarTrans Bus	F-450/Senator SII LF (2009)	TTC Wheel Trans	Ford Power Stroke-Ford 5R110W	Active		9 July 2018
115	100-209	Ford/StarTrans Bus	F-450/Senator SII LF (2009)	TTC Wheel Trans	Ford Power Stroke-Ford 5R110W	Active		9 July 2018
116	100-209	Ford/StarTrans Bus	F-450/Senator SII LF (2009)	TTC Wheel Trans	Ford Power Stroke-Ford 5R110W	Active		9 July 2018
