Route Number	Route Name	Division(s)	All Interlines	Internal Branches
5	Avenue Rd	Wilson	320 Yonge	"5_0_5A
5_0_5B
5_1_5A
5_1_5B"
6	Bay	Mount Dennis	300 Bloor-Danforth	"6_0_6A
6_0_6B
6_0_Binserv
6_1_6A
6_1_6B"
7	Bathurst	Wilson	142 Avenue Rd/Downtown Express, 307 Bathurst, 320 Yonge	"7_0_7
7_0_BWBA
7_0_DUBA
7_0_GRBW
7_1_BWGR
7_0_HIBA
7_1_7
7_1_BABW
7_1_BADU
7_1_BWVL"
8	Broadview	Birchmount	None	"8_0_8
8_1_8"
9	Bellamy	Birchmount	20 Cliffside	"9_0_9
9_1_9
9_1_9rush"
10	Van Horne	Wilson	None	"10_0_10
10_1_10
10_0_VHBR"
11	Bayview	Wilson	320 Yonge	"11_0_11A
11_1_11A
11_0_11C
11_1_11C
11_1_11Apm"
12	Kingston Rd	Birchmount	17 Birchmount, 22 Coxwell, 24 Victoria Park, 70 O'Connor, 87 Cosburn, 302 Kingston-McCowan, 322 Coxwell, 324 Victoria Park	"12_0_12A
12_1_12A
12_0_12B
12_1_12B
12_0_12C
12_0_12C*
12_1_12C
12_1_12C*
12_0_12D
12_1_12D
12_0_12Apeak
12_1_NMVI
12_1_cd12C
12_1_kb12C
12_1_BAKR
12_0_VIBI
12_0_KRBA
12_0_KRBA*
12_0_bi12A
12_1_12*bi"
14	Glencairn	Mount Dennis	None	"14_0_14
14_1_14"
15	Evans	Queensway	48 Rathburn, 111 East Mall, 937 Islington Express	"15_0_15
15_1_15
15_1_ESRY"
16	McCowan	Birchmount, Eglinton	70 O'Connor, 300 Bloor-Danforth, 322 Coxwell, 324 Victoria Park	"16_0_16
16_1_16
16_0_16dd"
17	Birchmount	Birchmount	12 Kingston Rd, 69 Warden South, 320 Yonge, 902 Markham Rd Express	"17_0_17A
17_0_17B
17_0_17C
17_0_ke17S
17_1_17A
17_1_17B
17_1_17C
17_1_BIRO"
20	Cliffside	Birchmount	9 Bellamy	"20_0_20
20_1_20
20_0_st20"
21	Brimley	Malvern	302 Kingston-McCowan	"21_0_21A
21_1_21A
21_0_21B
21_1_21B
21_0_21C
21_1_21C"
22	Coxwell	Birchmount	12 Kingston Rd, 300 Bloor-Danforth, 322 Coxwell, 324 Victoria Park	"22_0_22A
22_1_22A
22_0_22B
22_1_22B"
23	Dawes	Birchmount	None	"23_0_23
23_1_23"
24	Victoria Park	Birchmount	12 Kingston Rd, 300 Bloor-Danforth, 302 Kingston-McCowan, 322 Coxwell, 324 Victoria Park, 924 Victoria Park	"24_0_24A
24_0_24B
24_0_24da
24_0_24DABI
24_0_24vda
24_0_DABI
24_0_SOVI
24_1_24A
24_1_24B
24_1_24da
24_1_biv24
24_1_CSDO
24_1_BIDA
24_1_dav24
24_1_SOST"
25	Don Mills	Eglinton	70 O'Connor, 300 Bloor-Danforth, 320 Yonge, 325 Don Mills, 925 Don Mills	"25_0_25A
25_0_25A*
25_0_25B
25_0_25C
25_0_dm25
25_0_feps
25_1_25A
25_1_25A*
25_1_25B
25_1_25C
25_1_do25*
25_1_DODO
25_1_FEFM"
26	Dupont	Mount Dennis	300 Bloor-Danforth, 312 St Clair-Junction	"26_0_26
26_1_26"
28	Bayview South	Wilson	None	"28_0_28
28_1_28"
29	Dufferin	Mount Dennis	320 Yonge, 329 Dufferin	"29_0_29A
29_0_29C
29_0_29D
29_0_29dm
29_1_29A
29_1_29C
29_0_29Cdlaw
29_1_29Cdlaw
29_1_29D
29_1_29wils
29_1_dm29"
30	High Park	Queensway	49 Bloor West, 300 Bloor Danforth	"30_0_30A
30_1_30A
30_0_30B
30_1_30B
30_0_HPCL
30_1_CLHP"
31	Greenwood	Birchmount	None	"31_0_31A
31_1_31A
31_0_31B
31_1_31B"
32	Eglinton West	Wilson	141 Downtown/Mt Pleasant Express, 320 Yonge, 332 Eglinton West	"32_0_32A
32_0_32C
32_0_32D
32_0_HOJA
32_0_ke32sch
32_0_mp32sch
32_0_MPEWsch
32_1_32A
32_1_32C
32_1_32D
32_1_EMHO
32_1_ke32Asch
32_1_MMEWsch
32_1_WRPI"
33	Forest Hill	Wilson	None	"33_0_33
33_1_33
33_1_33roch"
34	Eglinton East	Eglinton	300 Bloor-Danforth, 320 Yonge, 334 Eglinton East, 354 Lawrence East	"34_0_34A
34_1_34A
34_0_34Aam
34_0_34B
34_1_34B
34_0_34C
34_1_34C
34_1_34Akes
34_1_EGES"
35	Jane	Arrow Rd	46 Martin Grove, 927 Highway 27 Express, 935 Jane Express	"35_0_35A
35_0_35Apv
35_0_35Arush
35_0_35B
35_0_35Brush
35_1_35A
35_1_35Apv
35_1_35Arush
35_1_35B
35_1_35Brush
35_1_35fj
35_1_JAFJ
35_1_PVST
35_1_PVSTpv"
36	Finch West	Arrow Rd	35 Jane, 60 Steeles West, 96 Wilson, 186 Wilson Rocket, 336 Finch West, 339 Finch East	"36_0_36A
36_0_36B
36_0_36D
36_0_36F
36_0_36FWES
36_0_36J
36_0_36Jpv
36_0_fa36
36_0_fa36c
36_0_fa36
36_0_fj36
36_0_MPWE
36_1_36A
36_1_36B
36_1_36D
36_1_36F
36_1_36fa
36_1_36fac
36_1_36J
36_1_36Dpv
36_1_36Jpv
36_1_BAFW
36_1_FHWH
36_1_FWMP
36_1_FWHW
36_1_KE36B
36_1_FWES"
37	Islington	Queensway	50 Queensway, 123 Sherway, 300 Bloor-Danforth, 315 Evans-Browns Line, 337 Islington, 945 Kipling Express	"37_0_37A
37_1_37A
37_0_37B
37_1_37B
37_0_IS37B
37_1_IWST"
38	Highland Creek	Malvern	129 McCowan North, 131 Nugget, 903 Kennedy-Scarborough Centre Express	"38_0_38A
38_1_38A
38_0_38B
38_1_38B
38_0_RHMK"
39	Finch East	Malvern	53 Steeles East, 336 Finch West, 339 Finch East, 353 Steeles	"39_0_39A
39_1_39A
39_0_39B
39_1_39B
39_0_39C
39_1_39C
39_0_FSMA
39_0_MCVP"
40	Junction-Dundas West	Queensway	None	"40_0_40A
40_0_40Aa
40_1_40A
40_1_40Aak
40_0_40B
40_0_40Ba
40_1_40B
40_1_40Ba"
41	Keele	Mount Dennis	300 Bloor-Danforth, 329 Dufferin, 341 Keele	"41_0_41
41_1_41
41_0_41pv
41_1_41pv"
42	Cummer	Wilson	320 Yonge	"42_0_42A
42_0_42C
42_0_MCVP
42_1_42A
42_1_42C
42_1_42mfs
42_1_VPMC
42_1_VPTE"
43	Kennedy	Eglinton	57 Midland, 300 Bloor-Danforth, 343 Kennedy	"43_0_43A
43_0_43ASun
43_0_43B
43_0_mc43A
43_0_MIMC
43_0_MIPA
43_1_PAMI
43_1_43A
43_1_43B"
44	Kipling South	Queensway	45 Kipling, 300 Bloor-Danforth	"44_0_44
44_0_KPEV
44_1_44
44_1_EVKP"
45	Kipling 	Queensway	15 Evans, 44 Kipling South, 46 Martin Grove, 48 Rathburn, 300 Bloor-Danforth, 315 Evans-Browns Line	"45_0_45A
45_1_45A
45_0_45Aexmile
45_0_45B
45_1_45B
45_0_45Acon
45_1_45Acon
45_0_45ACon
45_1_45ACon
45_0_45Bcon
45_1_45Bcon
45_0_45BCon
45_1_45BCon"
46	Martin Grove	Arrow Rd, Queensway	35 Jane, 45 Kipling, 60 Steeles West, 396 Wilson	"46_0_46
46_1_46
46_0_46con
46_1_46con
46_0_mr46
46_0_NTKP
46_1_NTSL"
47	Lansdowne	Wilson	300 Bloor-Danforth, 312 St Clair-Junction, 320 Yonge, 329 Dufferin	"47_0_47A
47_0_47ASun
47_0_47B
47_0_47C
47_1_47A
47_1_47ASun
47_1_47B
47_1_47C"
48	Rathburn	Queensway	15 Evans, 45 Kipling	"48_0_48
48_0_48A
48_0_48Aam
48_0_MMRY
48_1_48
48_1_48Aam
48_1_KIML"
49	Bloor West	Queensway	300 Bloor-Danforth	"49_0_49
49_1_49
49_0_MABL"
50	Burnhamthrope	Queensway	300 Bloor-Danforth	"50_0_50
50_0_MMIS
50_1_50"
51	Leslie	Wilson	320 Yonge	"51_0_51
51_1_51
51_1_FIST"
52	Lawrence West	Wilson	352 Lawrence West	"52_0_52A
52_0_52Ayg
52_0_52B
52_0_52D
52_0_52Dyg
52_0_52F
52_0_52G
52_0_52Gcon
52_0_ch52Gcon
52_0_ch52G
52_0_LALS
52_0_LALSch
52_0_ROLW
52_0_TOLS
52_0_TOYG
52_0_WELS
52_0_WMT3
52_1_52A
52_1_52B
52_1_52D
52_1_52F
52_1_52G
52_1_52Gcon
52_1_ba52A
52_1_ba52B
52_1_dl52A
52_1_dl52B
52_1_MGTO
52_1_WELS
52_1_yg52A
52_1_yg52D
52_1_T1T3
52_0_52Dyg"
53	Steeles East	Malvern	39 Finch East, 85 Sheppard East, 116 Morningside, 133 Neilson, 353 Steeles	"53_0_53A
53_1_53A
53_0_53B
53_1_53B
53_0_53Bpm
53_1_53Bpm
53_0_53E
53_1_53E
53_0_53F
53_1_53F
53_0_53Epm
53_1_53Epm
53_1_53Epm*
53_0_53Fpm
53_1_53Fpm
53_1_SYON
53_1_BSFS
53_0_BRMK"
54	Lawrence East	Eglinton	320 Yonge, 334 Eglinton East, 354 Lawrence East	"54_0_54A
54_0_54B
54_0_54Bpm
54_0_54rst
54_0_MRST
54_0_LSOT
54_0_LMOT
54_0_rt54A
54_1_54A
54_1_54B
54_1_54Bpm
54_1_54Br
54_1_la54
54_1_lmr54
54_1_mor54
54_1_OTBR
54_1_RH54
54_1_RH54r
54_1_STRH"
55	Warren Park	Wilson	None	"55_0_55
55_1_55
55_0_VAOL"
56	Leaside	Wilson	320 Yonge	"56_0_56A
56_1_56A
56_0_56B
56_1_56B"
57	Midland	Eglinton	43 Kennedy	"57_0_57
57_1_57
57_1_57am"
59	Maple Leaf	Arrow Rd	None	"59_0_59A/C
59_0_59Ach
59_0_59B/C
59_0_59Bch
59_1_59A/C
59_1_59B/C
59_1_ch59A
59_1_ch59B"
60	Steeles West	Arrow Rd	35 Jane, 36 Finch West, 46 Martin Grove, 96 Wilson, 396 Wilson	"60_0_60A
60_0_60B
60_0_60Bpv
60_0_60D
60_0_pk60c
60_0_si60
60_0_si60c
60_1_60A
60_0_60Apv
60_1_60Apv
60_1_60B
60_1_60D
60_1_60Dpv"
61	Avenue Road North	Wilson	320 Yonge	"61_0_61
61_1_61
61_1_61aros"
62	Mortimer	Birchmount	87 Cosburn	"62_0_62
62_0_62A
62_1_62"
63	Ossington	Wilson	320 Yonge, 363 Ossington	"63_0_63A
63_1_63A
63_0_63B
63_1_63B
63_0_63Apm
63_1_63Apm
63_0_63AamSun
63_1_63AamSun
63_1_LBKI"
